"Item","Part Name","Qty","Unit","Price/Unit (₹)","Total (₹)","Source","Notes"
"1","Arduino Nano (ATmega328P, CH340)","1","Piece","₹350","₹350","Flipkart","Search: ""Arduino Nano V3.0 CH340"""
"2","WS2812B NeoPixel Ring (12-bit)","2","Piece","₹200","₹400","Flipkart","Search: ""WS2812 12 Bit RGB LED"""
"3","10kΩ Potentiometer (Panel Mount)","4","Piece","₹40","₹160","Flipkart","Search: ""10k Potentiometer"""
"4","Electrolytic Capacitor (1000µF, 16V)","1","Piece","₹35","₹35","Flipkart","Search: ""1000uF 16V capacitor"" (Pack options available)"
"5","Resistor (100Ω, 1/4W Pack)","1","Piece","₹25","₹25","Flipkart","Search: ""100 ohm resistor"""
"6","SPST Toggle Switch","1","Piece","₹150","₹150","Flipkart","Search: ""SPST switch toggle"" (Pack of 5 available)"
"7","18650 Li-ion Battery (3000mAh)","1","Piece","₹300","₹300","Flipkart","Search: ""18650 3000mAh battery"" (Usually sold in packs)"
"8","TP4056 Li-ion Charger Module (USB)","1","Piece","₹150","₹150","Flipkart","Search: ""TP4056 charger module"""
"9","DC-DC Buck Converter (LM2596)","1","Piece","₹190","₹190","Flipkart","Search: ""LM2596 buck converter"""
"","","","","","₹1,760","Total","Project Budget"
